configuration,matched_events,correct_pairs,reversed_pairs,tied_pairs_excluded,comparable_pairs,temporal_consistency
Fixed + Gemini,79,2576,304,201,2880,89.44444444444444
Whole + BGE,68,1895,309,74,2204,85.98003629764065
Whole + MedCPT,61,1470,267,93,1737,84.6286701208981
Section + BGE,67,1700,356,155,2056,82.68482490272373
Fixed + BGE,61,1436,323,71,1759,81.6372939169983
Section + Gemini,51,944,257,74,1201,78.60116569525395
Fixed + MedCPT,52,1002,281,43,1283,78.09820732657833
Whole + Gemini,80,2264,710,186,2974,76.12642905178211
Section + MedCPT,36,374,202,54,576,64.93055555555556
