Priority Rank,Configuration,Coverage %,Fully Captured,Partially Captured,Absent,Total Claims,Supported,Unsupported,Faithfulness %,Matched Temporal Events,Temporal Consistency %,TF-IDF Cosine Similarity
1,Section + BGE,87.5,16,3,1,58,52,6,89.66,47,88.88888888888889,0.3866884405454876
2,Fixed + Gemini,92.5,17,3,0,55,48,7,87.27,58,83.16195372750641,0.3708443228730297
3,Fixed + MedCPT,90.0,17,2,1,43,36,7,83.72,44,91.69363538295578,0.3731876463868917
4,Whole + MedCPT,95.0,18,2,0,77,62,15,80.52,64,80.35808320168509,0.3963563802999767
5,Fixed + BGE,97.5,19,1,0,47,37,10,78.72,54,90.38047379755922,0.36722596740716024
6,Section + MedCPT,72.5,12,5,3,42,33,9,78.57,26,79.15194346289752,0.3474179296328268
7,Whole + Gemini,100.0,20,0,0,63,49,14,77.78,57,89.04020752269778,0.36739619129489404
8,Whole + BGE,97.5,19,1,0,87,66,21,75.86,65,85.84952665670154,0.37719111666914473
9,Section + Gemini,52.5,9,3,8,48,33,15,68.75,28,77.0392749244713,0.2579026098547631
