Configuration,matched_events,correct_pairs,reversed_pairs,tied_pairs_excluded,comparable_pairs,temporal_consistency
Fixed + MedCPT,44,850,77,19,927,91.69363538295578
Fixed + BGE,54,1259,134,38,1393,90.38047379755922
Whole + Gemini,57,1373,169,54,1542,89.04020752269778
Section + BGE,47,928,116,37,1044,88.88888888888889
Whole + BGE,65,1723,284,73,2007,85.84952665670154
Fixed + Gemini,58,1294,262,97,1556,83.16195372750641
Whole + MedCPT,64,1526,373,117,1899,80.35808320168509
Section + MedCPT,26,224,59,42,283,79.15194346289752
Section + Gemini,28,255,76,47,331,77.0392749244713
